Year, Week, [-3.750892162323 -73.2434844970703], [-3.750892162323 -73.2934875488281], [-3.70089221000671 -73.2434844970703], [-3.80089211463928 -73.2434844970703]

1981, 26, 2.012750e-01, 2.296000e-01, 2.071000e-01, 2.533000e-01
1981, 27, 1.820667e-01, 1.344667e-01, 1.557000e-01, 2.174667e-01
1981, 28, 3.673667e-01, 2.194000e-01, 2.948167e-01, 3.173000e-01
1981, 29, 3.789000e-01, 3.017571e-01, 2.209429e-01, 3.856167e-01
1981, 30, 3.455714e-01, 3.648143e-01, 1.978571e-01, 3.246429e-01
1981, 31, 2.723667e-01, 3.400333e-01, 2.186500e-01, 2.769333e-01
1981, 32, 1.700857e-01, 1.602714e-01, 1.112500e-01, 1.600143e-01
1981, 33, 2.744250e-01, 2.682750e-01, 2.002000e-01, 2.283200e-01
1981, 34, 2.257286e-01, 2.225286e-01, 1.787833e-01, 1.727000e-01
1981, 35, 3.529000e-01, 3.764000e-01, 2.903286e-01, 3.032714e-01
1981, 36, 2.869833e-01, 3.138833e-01, 1.818500e-01, 2.291833e-01
1981, 37, 3.931500e-01, 2.999833e-01, 2.404500e-01, 3.302167e-01
1981, 38, 2.136714e-01, 2.021000e-01, 1.910143e-01, 2.245286e-01
1981, 39, 3.663000e-01, 3.517000e-01, 2.473857e-01, 3.404143e-01
1981, 40, 3.804286e-01, 4.509429e-01, 2.411286e-01, 2.974857e-01
1981, 41, 3.512714e-01, 3.388286e-01, 2.736857e-01, 2.871000e-01
1981, 42, 3.677857e-01, 3.344000e-01, 2.418333e-01, 2.320143e-01
1981, 43, 3.086429e-01, 2.063143e-01, 2.834857e-01, 2.591286e-01
1981, 44, 1.817143e-01, 1.748571e-01, 1.763714e-01, 2.009286e-01
1981, 45, 3.667000e-01, 4.076429e-01, 2.856143e-01, 4.066286e-01
1981, 46, 2.375833e-01, 1.478143e-01, 1.662857e-01, 2.484143e-01
1981, 47, 2.989429e-01, 3.209429e-01, 1.901571e-01, 3.219857e-01
1981, 48, 2.664167e-01, 3.037500e-01, 2.235167e-01, 2.322000e-01
1981, 49, 3.171000e-01, 3.373429e-01, 2.399571e-01, 2.773571e-01
1981, 50, 3.254667e-01, 3.090857e-01, 1.976571e-01, 2.424286e-01
1981, 51, 2.260333e-01, 2.699833e-01, 1.556000e-01, 3.059000e-01
1981, 52, 2.662444e-01, 2.599778e-01, 2.137111e-01, 2.716444e-01
1982, 1, 3.417333e-01, 2.655500e-01, 1.130800e-01, 2.597500e-01
1982, 2, 2.214429e-01, 2.197286e-01, 2.208857e-01, 1.950000e-01
1982, 3, 1.910857e-01, 1.990286e-01, 1.228333e-01, 1.596714e-01
1982, 4, 2.824667e-01, 2.882167e-01, 2.504833e-01, 2.584500e-01
1982, 5, 3.843500e-01, 4.262333e-01, 2.894667e-01, 3.962333e-01
1982, 6, 2.050429e-01, 2.345000e-01, 1.694000e-01, 1.973714e-01
1982, 7, 1.921833e-01, 1.626857e-01, 1.751667e-01, 2.200714e-01
1982, 8, 1.717286e-01, 1.926429e-01, 1.591714e-01, 1.580714e-01
1982, 9, 1.985833e-01, 2.223500e-01, 2.359000e-01, 1.708667e-01
1982, 10, 3.667333e-01, 3.410429e-01, 1.852571e-01, 2.936000e-01
1982, 11, 1.889000e-01, 1.723000e-01, 1.582714e-01, 1.456571e-01
1982, 12, 1.760857e-01, 2.127714e-01, 1.668714e-01, 1.684571e-01
1982, 13, 2.766429e-01, 3.278143e-01, 2.628600e-01, 3.619429e-01
1982, 14, 1.561500e-01, 1.398143e-01, 1.092571e-01, 1.447429e-01
1982, 15, 2.242857e-01, 2.264714e-01, 1.927429e-01, 1.868571e-01
1982, 16, 2.697250e-01, 3.206000e-01, 1.798000e-01, 2.659250e-01
1982, 17, 1.580167e-01, 1.891167e-01, 1.209400e-01, 1.687333e-01
1982, 18, 2.825667e-01, 2.425000e-01, 9.035000e-02, 2.381500e-01
1982, 19, 2.358429e-01, 2.631000e-01, 1.789833e-01, 3.334143e-01
1982, 20, 2.051571e-01, 2.899857e-01, 1.644000e-01, 2.885000e-01
1982, 21, 2.958800e-01, 3.038143e-01, 2.776000e-01, 3.263571e-01
1982, 22, 2.316429e-01, 2.279143e-01, 1.066000e-01, 2.235571e-01
1982, 23, 2.028714e-01, 1.810143e-01, 9.888571e-02, 2.660571e-01
