Year, Week, [18.4491119384766 -66.0930480957031], [18.4991111755371 -66.0930480957031], [18.4491119384766 -66.1430511474609], [18.4991111755371 -66.1430511474609]

1981, 26, 2.846000e-01, 2.102000e-01, 2.630000e-01, 1.064000e-01
1981, 27, 2.916286e-01, NaN, 3.082286e-01, 3.198250e-01
1981, 28, 2.938167e-01, 1.203000e-01, 3.079333e-01, NaN
1981, 29, 2.415000e-01, 1.230000e-01, 2.034333e-01, 2.647667e-01
1981, 30, 2.127167e-01, 3.114000e-01, 2.284500e-01, 2.332500e-01
1981, 31, 2.972667e-01, 2.499000e-01, 2.545167e-01, 1.754000e-01
1981, 32, 1.451000e-01, NaN, 1.614857e-01, NaN
1981, 33, 1.087000e-01, 2.151000e-01, 1.703000e-01, 1.486000e-01
1981, 34, 1.925286e-01, 2.371000e-01, 2.027714e-01, 1.195667e-01
1981, 35, 2.441167e-01, NaN, 2.871429e-01, 2.260000e-02
1981, 36, 2.747500e-01, NaN, 2.068667e-01, 1.789000e-01
1981, 37, 2.267500e-01, 1.062000e-01, 1.834333e-01, 1.309500e-01
1981, 38, 2.687500e-01, 1.319000e-01, 2.671667e-01, 7.760000e-02
1981, 39, 2.627143e-01, 3.527000e-01, 2.702714e-01, 2.211333e-01
1981, 40, 2.996000e-01, 4.164000e-01, 2.978833e-01, 2.640000e-01
1981, 41, 2.373286e-01, NaN, 2.331286e-01, NaN
1981, 42, 1.381833e-01, 1.139500e-01, 1.420571e-01, 1.019000e-01
1981, 43, 1.532500e-01, 1.456500e-01, 1.240714e-01, 1.075250e-01
1981, 44, 8.898000e-02, 1.245000e-01, 4.578000e-02, 4.740000e-02
1981, 45, 2.109000e-01, 1.903000e-01, 1.540000e-01, 2.060500e-01
1981, 46, 2.510857e-01, 7.265000e-02, 2.146429e-01, 1.143750e-01
1981, 47, 1.780400e-01, 1.054000e-01, 2.568800e-01, NaN
1981, 48, 1.205833e-01, 1.601500e-01, 8.793333e-02, 1.793500e-01
1981, 49, 1.510143e-01, 3.286000e-01, 1.556857e-01, 1.541500e-01
1981, 50, 1.303857e-01, 7.200000e-02, 9.921667e-02, 5.430000e-02
1981, 51, 1.766667e-01, 2.990000e-02, 1.355857e-01, 9.542500e-02
1981, 52, 1.890222e-01, 2.780000e-02, 1.520111e-01, 1.418667e-01
1982, 1, 2.978857e-01, 3.947000e-01, 2.316286e-01, NaN
1982, 2, 3.535286e-01, NaN, 2.696857e-01, 4.341000e-01
1982, 3, 2.442000e-01, 1.497000e-01, 1.939167e-01, 2.069333e-01
1982, 4, 1.295500e-01, 9.330000e-02, 1.205400e-01, 1.031333e-01
